Input,Time1,Time2,Time3
easy1,0.884996,1.138171,0.967902
easy2,2.459826,2.540607,1.925737
easy3,2.300758,1.886871,1.65704
medium1,2.612844,2.889364,2.296423
medium2,2.455877,3.288717,2.520631
medium3,7.855999,8.184791,6.45369
hard1,54.449071,43.032886,40.237876
hard2,12.335226,11.506111,12.018825
hard3,17.578004,19.827802,18.947622
expert1,582.468458,575.203269,585.731401
expert2,73.302598,76.112581,89.93572
expert3,124.865641,122.854218,139.351857
